Species,Treatment,Genotype,median.RR,Fv.Fm.end,Fv.Fm.change,BW.change,Ratio
Ofav,Control,OF1,4.911,0.453333333,-0.126,0.07765,0.005373569
Ofav,Control,OF2,2.397,0.470333333,-0.110333333,0.116533333,0.007095646
Ofav,Control,OF125,3.647,0.472166667,-0.109833333,0.149766667,0.005783766
Ofav,Control,OF126,3.697,0.476833333,-0.0715,0.14875,1.004468758
Ofav,Control,OF27,1.017,0.484666667,-0.080166667,0.176966667,0.008607588
Ofav,Control,OF3,0.9916,0.4705,-0.1058,0.0998,0.005927932
Ofav,Control,OF5,3.609,0.493833333,-0.0988,0.052366667,0.035871273
Ofav,Control,OF61,2.35,0.472666667,-0.1118,0.145233333,0.019567313
Ofav,Control,OF8,3.67,0.495333333,-0.1056,0.20655,0.83673316
Ofav,Control,OF11,3.626,0.465166667,-0.1278,0.165083333,0.008633165
Ofav,OA,OF1,1.007,0.4485,-0.142333333,-0.018383333,0.005373569
Ofav,OA,OF2,0.9665,0.4555,-0.127666667,0.0188,0.007095646
Ofav,OA,OF125,2.366,0.461166667,-0.1265,0.066366667,0.005783766
Ofav,OA,OF126,1.004,0.4675,-0.0855,0.11745,1.004468758
Ofav,OA,OF27,2.357,0.470666667,-0.1165,0.170183333,0.008607588
Ofav,OA,OF3,1.007,0.469,-0.111833333,0.115,0.005927932
Ofav,OA,OF5,2.276,0.480333333,-0.108333333,-0.076766667,0.035871273
Ofav,OA,OF61,0.9787,0.473666667,-0.114333333,0.215083333,0.019567313
Ofav,OA,OF8,1.002,0.479,-0.122666667,0.163133333,0.83673316
Ofav,OA,OF11,1.027,0.460333333,-0.123666667,0.239516667,0.008633165
Ofav,OAOW,OF1,2.306,0.478166667,-0.124666667,0.125216667,0.005373569
Ofav,OAOW,OF2,2.392,0.440666667,-0.157833333,0.034216667,0.007095646
Ofav,OAOW,OF125,3.663,0.494,-0.115333333,0.093633333,0.005783766
Ofav,OAOW,OF126,5.077,0.385333333,-0.190833333,-0.02,1.004468758
Ofav,OAOW,OF27,0.9862,0.506333333,-0.097,0.110516667,0.008607588
Ofav,OAOW,OF3,1.012,0.462333333,-0.135833333,0.027033333,0.005927932
Ofav,OAOW,OF5,1.022,0.5055,-0.096333333,0.088183333,0.035871273
Ofav,OAOW,OF61,1.038,0.524666667,-0.074833333,0.092233333,0.019567313
Ofav,OAOW,OF8,4.95,0.502666667,-0.118333333,0.1826,0.83673316
Ofav,OAOW,OF11,3.67,0.498,-0.103333333,0.301566667,0.008633165
Ofav,OW,OF1,0.9932,0.487166667,-0.11275,0.115966667,0.005373569
Ofav,OW,OF2,0.9721,0.463,-0.1355,0.044333333,0.007095646
Ofav,OW,OF125,0.9836,0.506,-0.09775,0.134883333,0.005783766
Ofav,OW,OF126,0.9844,0.414833333,-0.15625,0.0504,1.004468758
Ofav,OW,OF27,2.284,0.512833333,-0.08775,0.155533333,0.008607588
Ofav,OW,OF3,0.9883,0.489833333,-0.095333333,0.0916,0.005927932
Ofav,OW,OF5,1.056,0.489833333,-0.0725,0.141183333,0.035871273
Ofav,OW,OF61,2.341,0.533833333,-0.063,0.160033333,0.019567313
Ofav,OW,OF8,1.007,0.525666667,-0.077666667,0.29442,0.83673316
Ofav,OW,OF11,0.9744,0.504833333,-0.0915,0.329216667,0.008633165